date,value
1962-01-01,615.9972832740065
1962-02-01,625.6602251058147
1962-03-01,635.8825523932244
1962-04-01,638.8077684716222
1962-05-01,624.1496308792775
1962-06-01,591.5574740122543
1962-07-01,582.5734205434597
1962-08-01,563.583774894533
1962-09-01,559.4950432683365
1962-10-01,568.449690034077
1962-11-01,582.9083769272768
1962-12-01,610.8275041231785
1963-01-01,628.9822101699032
1963-02-01,642.2678141464427
1963-03-01,651.2081786364229
1963-04-01,647.2716741124864
1963-05-01,640.2822362943157
1963-06-01,613.4180720928074
1963-07-01,597.3883169640864
1963-08-01,578.0700822395129
1963-09-01,565.2461884481339
1963-10-01,587.6647905015869
1963-11-01,604.5103400657699
1963-12-01,617.8453114863313
1964-01-01,654.5257946641062
1964-02-01,652.3876106909847
1964-03-01,667.2176550592029
1964-04-01,662.6673832254858
1964-05-01,658.4757370003199
1964-06-01,639.7906572611378
1964-07-01,614.5977155843167
1964-08-01,602.2313735340323
1964-09-01,591.5722087891537
1964-10-01,592.4927151832654
1964-11-01,616.4485983248416
1964-12-01,640.3378814338836
1965-01-01,667.3284749478066
1965-02-01,683.6713383079006
1965-03-01,683.0522283856559
1965-04-01,680.0917887227383
1965-05-01,663.5690761031922
1965-06-01,643.3437737257417
1965-07-01,623.2916275027069
1965-08-01,628.0944379121804
1965-09-01,611.462876618546
1965-10-01,618.2063260163292
1965-11-01,629.9241822712225
1965-12-01,661.4435883675231
1966-01-01,671.1075323063783
1966-02-01,694.5957376629087
1966-03-01,698.5115296667274
1966-04-01,701.5378149649114
1966-05-01,684.2578152406833
1966-06-01,662.5407024910243
1966-07-01,649.6820673141386
1966-08-01,638.4822202886736
1966-09-01,632.3437236392201
1966-10-01,639.909057013084
1966-11-01,651.0165486030676
1966-12-01,673.742430758428
1967-01-01,693.8147193052881
1967-02-01,711.8616732562757
1967-03-01,716.9231310624734
1967-04-01,708.9718894639565
1967-05-01,705.6989716397966
1967-06-01,684.4349587305951
1967-07-01,659.6719867210016
1967-08-01,656.6544722136504
1967-09-01,645.4746457053881
1967-10-01,656.6564245033657
1967-11-01,675.8336118823601
1967-12-01,694.2010511421508
1968-01-01,720.8740249668846
1968-02-01,725.4853099622102
1968-03-01,741.0005706785835
1968-04-01,732.1792520209133
1968-05-01,718.4578551826183
1968-06-01,701.5496150878143
1968-07-01,684.2652157951952
1968-08-01,672.6213876471703
1968-09-01,662.1853883233875
1968-10-01,678.9008299591559
1968-11-01,692.5164712701244
1968-12-01,703.8749181569776
1969-01-01,740.618282513146
1969-02-01,759.1388849441314
1969-03-01,762.882760328494
1969-04-01,752.7036782965532
1969-05-01,735.4580778209751
1969-06-01,727.7161220462922
1969-07-01,701.8070937209659
1969-08-01,696.4527862879337
1969-09-01,687.0525124176886
1969-10-01,697.2798927068036
1969-11-01,709.9699910573444
1969-12-01,733.0890024293235
1970-01-01,751.2295216477721
1970-02-01,776.5887915335076
1970-03-01,775.6234229362138
1970-04-01,773.6132492928384
1970-05-01,768.2275944138088
1970-06-01,733.7050681059243
1970-07-01,715.4705534634033
1970-08-01,713.1875444768116
1970-09-01,698.1455205017335
1970-10-01,720.1148034526316
1970-11-01,724.1200641676736
1970-12-01,743.8188625311597
1971-01-01,778.79173167657
1971-02-01,793.0620130211505
1971-03-01,802.3266572748286
1971-04-01,794.1335257669919
1971-05-01,772.5057125032542
1971-06-01,767.9941881771316
1971-07-01,738.4829616010752
1971-08-01,730.3528429150033
1971-09-01,726.747397366173
1971-10-01,727.6216470589309
1971-11-01,747.2585559232027
1971-12-01,770.167169946196
1972-01-01,789.059149199946
1972-02-01,798.1624351110576
1972-03-01,812.480053343726
1972-04-01,814.2352319590501
1972-05-01,791.339001629871
1972-06-01,775.6956907099981
1972-07-01,755.6472106972236
1972-08-01,753.586879578418
1972-09-01,743.3726113123665
1972-10-01,748.4340067055905
1972-11-01,758.3385786992458
1972-12-01,786.2523825448227
1973-01-01,801.8053582408813
1973-02-01,821.8185918553502
1973-03-01,825.8096320808013
1973-04-01,828.9854689503474
1973-05-01,815.6947950116022
1973-06-01,793.4023696337462
1973-07-01,777.8030120191403
1973-08-01,756.875253392369
1973-09-01,750.5548495637763
1973-10-01,766.5936560307075
1973-11-01,781.0215265483353
1973-12-01,804.731293772824
1974-01-01,835.0927454184878
1974-02-01,844.3818364989306
1974-03-01,842.4247513454749
1974-04-01,849.188383916094
1974-05-01,824.2323038759702
1974-06-01,810.135940387563
1974-07-01,793.4817704292087
1974-08-01,788.9072745442685
1974-09-01,772.2873634170621
1974-10-01,778.2645048310899
1974-11-01,797.6958964493451
1974-12-01,816.2387451565531
1975-01-01,846.8102011547003
1975-02-01,852.2597815221613
1975-03-01,859.2515192106401
1975-04-01,859.4142022518927
1975-05-01,846.321678675066
1975-06-01,840.0915236807217
1975-07-01,816.5700824904609
1975-08-01,798.7783171429476
1975-09-01,787.8839599331535
1975-10-01,804.6185124063926
1975-11-01,811.1870823345247
1975-12-01,829.8322811044759
