match_id,ball_number,over,runs_scored,wickets_lost,balls_bowled,balls_remaining,wickets_remaining,runs_required,runs_required_per_ball,current_run_rate,target,overs_completed,phase_powerplay,phase_middle,phase_death,batting_team_won,dls_prob,match_idx
2019-01-01_Team_A_Team_B,1,1,0,0,1,299,10,234,0.782608695652174,0.0,234,0.16666666666666666,1,0,0,1,0.5,0
2019-01-01_Team_A_Team_B,2,1,0,0,2,298,10,234,0.785234899328859,0.0,234,0.3333333333333333,1,0,0,1,0.5,0
2019-01-01_Team_A_Team_B,3,1,0,0,3,297,10,234,0.7878787878787878,0.0,234,0.5,1,0,0,1,0.5,0
2019-01-01_Team_A_Team_B,4,1,0,0,4,296,10,234,0.7905405405405406,0.0,234,0.6666666666666666,1,0,0,1,0.5,0
2019-01-01_Team_A_Team_B,5,1,0,0,5,295,10,234,0.7932203389830509,0.0,234,0.8333333333333334,1,0,0,1,0.5,0
2019-01-01_Team_A_Team_B,6,1,1,0,6,294,10,233,0.7925170068027211,1.0,234,1.0,1,0,0,1,0.5042917400892997,0
2019-01-01_Team_A_Team_B,7,2,1,0,7,293,10,233,0.7952218430034129,0.8571428571428571,234,1.1666666666666667,1,0,0,1,0.5042917400892997,0
2019-01-01_Team_A_Team_B,8,2,1,0,8,292,10,233,0.797945205479452,0.75,234,1.3333333333333333,1,0,0,1,0.5042917400892997,0
2019-01-01_Team_A_Team_B,9,2,3,0,9,291,10,231,0.7938144329896907,2.0,234,1.5,1,0,0,1,0.5128726912364129,0
2019-01-01_Team_A_Team_B,10,2,3,0,10,290,10,231,0.7965517241379311,1.7999999999999998,234,1.6666666666666667,1,0,0,1,0.5128726912364129,0
2019-01-01_Team_A_Team_B,11,2,3,0,11,289,10,231,0.7993079584775087,1.6363636363636362,234,1.8333333333333333,1,0,0,1,0.5128726912364129,0
2019-01-01_Team_A_Team_B,12,2,3,0,12,288,10,231,0.8020833333333334,1.5,234,2.0,1,0,0,1,0.5128726912364129,0
2019-01-01_Team_A_Team_B,13,3,5,0,13,287,10,229,0.7979094076655052,2.307692307692308,234,2.1666666666666665,1,0,0,1,0.5214460612474339,0
2019-01-01_Team_A_Team_B,14,3,5,0,14,286,10,229,0.8006993006993007,2.142857142857143,234,2.3333333333333335,1,0,0,1,0.5214460612474339,0
2019-01-01_Team_A_Team_B,15,3,7,0,15,285,10,227,0.7964912280701755,2.8,234,2.5,1,0,0,1,0.5300068158630445,0
